what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1387251108345
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1387251108345
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1387251108346
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1387251108346
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1387251108347
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1387251108347
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1387251108347
os,sysinfo,,,"linux",1387251108350
arch,sysinfo,,,"x86_64",1387251108350
ws,sysinfo,,,"gtk",1387251108350
locale,sysinfo,,,"en_US",1387251108350
processors,sysinfo,,,"4",1387251108350
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1387251108350
java.runtime.version,sysinfo,,,"1.7.0_45-b18",1387251108350
java.specification.name,sysinfo,,,"Java Platform API Specification",1387251108350
java.specification.vendor,sysinfo,,,"Oracle Corporation",1387251108350
java.specification.version,sysinfo,,,"1.7",1387251108350
java.vendor,sysinfo,,,"Oracle Corporation",1387251108350
java.version,sysinfo,,,"1.7.0_45",1387251108350
java.vm.info,sysinfo,,,"mixed mode",1387251108350
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1387251108350
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1387251108350
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1387251108350
java.vm.specification.version,sysinfo,,,"1.7",1387251108350
java.vm.vendor,sysinfo,,,"Oracle Corporation",1387251108350
java.vm.version,sysinfo,,,"24.45-b08",1387251108350
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1387251108353
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1387251108373
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1387251112687
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251139073
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251140379
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251150508
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387251150571
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1387251191884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251193294
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1387251195508
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251195581
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251196302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251219248
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1387251220162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251224883
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1387251232657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1387251325319
error,log,,,"Invalid thread access",1387251380526
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1387251402517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251402542
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1387251402667
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1387251402701
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251404236
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251409456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251413141
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251418295
opened,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.GenericHistoryView",1387251425059
activated,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.GenericHistoryView",1387251425089
executed,command,org.eclipse.egit.ui,1.3.0.201202151440-r,"org.eclipse.egit.ui.team.ShowHistory",1387251425217
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1387251431752
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1387251431797
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1387251431825
activated,view,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui.GenericHistoryView",1387251432725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251434391
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251455983
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1387251458087
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251473709
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251488244
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251496323
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251501707
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1387251504454
